N,G_N,S_N,omega,Pred_Series,Pred_Integral,Bias_Series,Bias_Integral
1000,56,1.3333333333333333,2,52.21373832419626,53.467322660292155,7.251466371349932,4.736869575084885
1002,72,2.012121212121212,3,78.89849401953538,80.79170135305692,-8.7435053168788,-10.881936146681072
1004,36,1.0040160642570282,2,39.420554218709825,40.36594847970892,-8.677083025601801,-10.81591946713103
1006,35,1.001996007984032,2,39.39258827934962,40.336791768173825,-11.150798846219251,-13.23058065412285
1008,84,2.4,3,94.47680633068987,96.74008074463384,-11.089289252664523,-13.169392300037472
1010,50,1.3468013468013469,3,53.0862343708002,54.35726183437427,-5.813624581550213,-8.015970060542745
1012,46,1.1640211640211642,3,45.94123367687429,47.04058563076643,0.1279162931040121,-2.2121017772488036
1014,78,2.1818181818181817,3,86.22291838077842,88.28505760736023,-9.536812874350064,-11.649828279098019
1016,36,1.008,2,39.88651287525252,40.83992919761249,-9.743927445870801,-11.850973526896894
1018,39,1.0019723865877712,2,39.699191260448686,40.647608641476694,-1.7612229323806714,-4.053396242836975
1020,102,2.844444444444444,4,112.84510620245615,115.53950570854785,-9.610612783684987,-11.718507557667497
1022,36,1.2169014084507042,3,48.33915295533989,49.4927119176882,-25.52620846860913,-27.262017769662844
1024,44,1.0,1,39.77415994245528,40.72280416246623,10.624586574948689,8.04756918128522
1026,84,2.1176470588235294,3,84.33560745690984,86.34597285825022,-0.39794277533521677,-2.716945308035946
1028,36,1.003921568627451,2,40.03248756647368,40.98624594150497,-10.07303770413407,-12.165656617152186
1030,50,1.3465346534653464,3,53.76315387293327,55.043337820363426,-6.999503566750033,-9.16248545250399
1032,72,2.048780487804878,3,81.90606507871185,83.85530655838282,-12.094421907818553,-14.137813150952788
1034,42,1.1358024691358024,3,45.464863764573124,46.54626661645153,-7.6209703003069285,-9.76719927704079
1036,54,1.2342857142857142,3,49.469812854237404,50.64583096556331,9.157477832210068,6.622793960508531
1038,80,2.0116959064327484,3,80.7304561797634,82.64856555754814,-0.9048086860018218,-3.2046116465311725
1040,52,1.4545454545454544,3,58.44561256409023,59.83348704464497,-11.028394230656936,-13.092145271092063
1042,43,1.001926782273603,2,40.309664457788166,41.266351445132166,6.674170024484137,4.20111905743084
1044,78,2.074074074074074,3,83.54973573022531,85.5315742643267,-6.642433613608202,-8.805606969247549
1046,37,1.0019193857965452,2,40.41106180721109,41.3691071198643,-8.44091111360605,-10.561279718232978
1048,38,1.0077519379844961,2,40.69741602639863,41.66172303375244,-6.627978603479229,-8.789178092288395
1050,114,3.1999999999999997,4,129.39215155722542,132.45636644343648,-11.895738166482248,-13.933921742687993
1052,36,1.003831417624521,2,40.64082885486149,41.60274394135142,-11.419129445993939,-13.467246173112448
